Sim,,,,Camera reception,,,,distance,,,,,,
%time,field.data,,,%time,field.data,,,%time,field.data,,,ARUCO + DISTANCE CALCULATION,,SIM – DISTANCE 
1593025727914951086,1593025727038850097,876.10112,,1593025727923374891,1593025727915280103,8.09472,,1593025727980566024,1593025727979547977,1.017856,,64.268288,,940.698112
1593025728355443000,1593025727922917968,432.5248,,1593025728356821060,1593025728355659008,1.16224,,1593025728405100107,1593025728404196977,0.903168,,48.538112,,481.27872
1593025728673471927,1593025728397271972,276.199936,,1593025728673844099,1593025728672785043,1.058816,,1593025728719274997,1593025728718537092,0.738048,,45.752064,,321.264896
1593025728842533111,1593025728674605957,167.92704,,1593025728843843936,1593025728842164039,1.680128,,1593025728894133090,1593025728893068075,1.06496,,50.904576,,218.462208
1593025728957470893,1593025728820812988,136.65792,,1593025728958444118,1593025728957148075,1.295872,,1593025729006233930,1593025729005506992,0.72704,,48.358656,,184.694016
1593025729095429897,1593025728939178955,156.250624,,1593025729096405029,1593025729094528913,1.87648,,1593025729144963979,1593025729143847942,1.115904,,49.319424,,204.668928
1593025729241977930,1593025729070091064,171.887104,,1593025729244259119,1593025729241251945,3.007488,,1593025729290251970,1593025729289768934,0.483328,,48.51712,,219.678208
1593025729412674903,1593025729232291015,180.384,,1593025729413990974,1593025729411839962,2.150656,,1593025729460431098,1593025729459893941,0.537088,,48.054016,,227.6032
1593025729864861011,1593025729705739990,159.120896,,1593025729865586996,1593025729864141941,1.444864,,1593025729909755945,1593025729909162998,0.593152,,45.020928,,203.42272
1593025730049737930,1593025729872940185,176.797952,,1593025730049737930,1593025730048064947,1.673472,,1593025730104130029,1593025730103646039,0.48384,,55.581696,,230.706176
1593025730860460042,1593025730697334960,163.125248,,1593025730856714010,1593025730855015039,1.699072,,1593025730902513980,1593025730901992082,0.521984,,46.977024,,204.657152
1593025731042325973,1593025730859053955,183.271936,,1593025731043557882,1593025731041938066,1.619968,,1593025731095150947,1593025731094363927,0.786432,,52.42624,,235.31008
1593025731185502052,1593025731027273193,158.228992,,1593025731186037063,1593025731184849977,1.187328,,1593025731233150959,1593025731232415914,0.73472,,47.56608,,205.142784
1593025731348973035,1593025731163338134,185.635072,,1593025731350287914,1593025731348594903,1.692928,,1593025731400624990,1593025731399995088,0.62976,,51.399936,,236.656896
1593025731478001117,1593025731306229980,171.771136,,1593025731478001117,1593025731476334095,1.667072,,1593025731532085895,1593025731531497001,0.5888,,55.16288,,225.266944
1593025731628525018,1593025731438632080,189.89312,,1593025731629659891,1593025731628242969,1.41696,,1593025731684873104,1593025731684294939,0.57856,,56.051712,,245.66272
1593025731778877973,1593025731601711181,177.166592,,1593025731778363943,1593025731776314973,2.04928,,1593025731839091062,1593025731838502883,0.588288,,62.187776,,236.791296
1593025731921232938,1593025731746132080,175.100672,,1593025731924294948,1593025731920967102,3.327488,,1593025731970726013,1593025731970149040,0.577024,,49.181952,,224.017152
1593025732090279102,1593025731899188964,191.090176,,1593025732092341899,1593025732090104103,2.237696,,1593025732140593051,1593025732140017032,0.576,,49.912832,,240.82816
1593025732239365100,1593025732043469970,195.89504,,1593025732239867925,1593025732238622903,1.24544,,1593025732294112920,1593025732293510913,0.602112,,54.887936,,250.040576
1593025732386768102,1593025732213333007,173.43488,,1593025732389297962,1593025732387262105,2.035968,,1593025732434338092,1593025732433751106,0.586752,,46.489088,,220.418048
1593025732550263881,1593025732361332031,188.932096,,1593025732552333116,1593025732550034999,2.298112,,1593025732600425958,1593025732599889993,0.536064,,49.854976,,238.558208
1593025732700963020,1593025732510757080,190.205696,,1593025732703659057,1593025732700814008,2.844928,,1593025732748948097,1593025732747709989,1.238016,,46.895872,,236.952832
1593025732872831106,1593025732674829101,198.002432,,1593025732872539997,1593025732870743989,1.796096,,1593025732926456928,1593025732925776958,0.680192,,55.032576,,250.947584
1593025733010090112,1593025732834997070,175.092736,,1593025733010493040,1593025733008732080,1.761024,,1593025733057919025,1593025733057034969,0.884224,,48.302592,,222.037504
1593025733167433023,1593025732981789062,185.643776,,1593025733171365022,1593025733166682004,4.683264,,1593025733226113080,1593025733225547075,0.566272,,58.864896,,243.757568
1593025733318718910,1593025733137128173,181.590784,,1593025733319000005,1593025733318290948,0.70912,,1593025733375905990,1593025733375217914,0.687872,,56.926976,,238.089984
1593025733453504085,1593025733269938964,183.565056,,1593025733455224990,1593025733453275918,1.948672,,1593025733507169008,1593025733506294965,0.87424,,53.018624,,236.35584
1593025733580497026,1593025733415327148,165.169664,,1593025733580624103,1593025733578896045,1.728,,1593025733628428936,1593025733627868890,0.560128,,48.9728,,212.54144
1593025733744015932,1593025733546873046,197.14304,,1593025733745321989,1593025733743364095,1.958144,,1593025733798721075,1593025733798054933,0.666368,,54.690816,,251.181824
1593025733874155998,1593025733697306152,176.850176,,1593025733874300956,1593025733873796939,0.504064,,1593025733932243108,1593025733931464910,0.77824,,57.668096,,234.159104
1593025734019613981,1593025733833672119,185.942272,,1593025734024667024,1593025734022994041,1.67296,,1593025734073291063,1593025734072441101,0.849408,,49.447424,,238.769408
1593025734141906976,1593025733974294189,167.612928,,1593025734142580986,1593025734141235113,1.345536,,1593025734197161912,1593025734196605920,0.556032,,55.370752,,222.311936
1593025734272880077,1593025734113760009,159.120128,,1593025734272880077,1593025734271645069,1.234944,,1593025734323118925,1593025734322314023,0.804608,,50.6688,,208.553984
1593025734377154111,1593025734232965087,144.188928,,1593025734379600048,1593025734376773118,2.826752,,1593025734427963018,1593025734426920890,1.04192,,50.14784,,193.95584
1593025734513551950,1593025734347786132,165.765888,,1593025734514430999,1593025734513072967,1.35808,,1593025734569184064,1593025734568660020,0.524032,,55.587328,,220.873984
1593025734627255916,1593025734474562011,152.694016,,1593025734628168106,1593025734626386880,1.780992,,1593025734684155941,1593025734683656930,0.4992,,57.270016,,209.094912
1593025734762250900,1593025734590782958,171.468032,,1593025734764071941,1593025734762582063,1.48992,,1593025734816327095,1593025734815840005,0.487168,,53.257984,,225.05728
1593025734874388933,1593025734725767089,148.621568,,1593025734875341892,1593025734873656988,1.684992,,1593025734935048103,1593025734934269905,0.777984,,60.61312,,208.502784
1593025735010649919,1593025734844052001,166.597888,,1593025735013145923,1593025735010382890,2.763008,,1593025735072279930,1593025735071697950,0.582144,,61.315072,,227.645952
1593025735149746894,1593025734975447998,174.29888,,1593025735150934934,1593025735149101972,1.832704,,1593025735203025102,1593025735202352046,0.67328,,53.250048,,226.904064
