%time,field.data
1593085848115360021,1593085848114274024
1593085848704469919,1593085848703526020
1593085849797781944,1593085849796864032
1593085850807637929,1593085850807110071
1593085851862845897,1593085851861938953
1593085853028690099,1593085853027842044
1593085853883533954,1593085853882852077
1593085854827116012,1593085854826560974
1593085855963504076,1593085855962682962
1593085857300393104,1593085857299882888
1593085857961221933,1593085857960596084
1593085858945625066,1593085858945077896
1593085859918396949,1593085859917484998
1593085860971719980,1593085860971174001
1593085861991400957,1593085861990674972
1593085863010380029,1593085863009659051
1593085863970299005,1593085863969593048
1593085865048646926,1593085865048042058
1593085866029341936,1593085866028367996
1593085867047260999,1593085867046761989
1593085868078130960,1593085868077383041
1593085870747095108,1593085869046701908
1593085870747369050,1593085870106950998
1593085871074539899,1593085871073762893
1593085872140424013,1593085872139801979
1593085873092165946,1593085873091367959
1593085874100127935,1593085874099517107
1593085875291623115,1593085875291093111
1593085876137803077,1593085876137211084
1593085877193936109,1593085877193088054
1593085878160573959,1593085878159935951
1593085879229500055,1593085879228826999
1593085880185035943,1593085880183892011
1593085881330735921,1593085881329869031
1593085882240546941,1593085882239969015
1593085883221605062,1593085883220947027
1593085884282485008,1593085884281853914
1593085885355432987,1593085885354849100
1593085886308717012,1593085886308054924
1593085887305146932,1593085887303689956
1593085888385296106,1593085888384596109
1593085889428003072,1593085889427390098
1593085890402383089,1593085890401519060
1593085891352816104,1593085891351843118
1593085892339581012,1593085892338521003
1593085893387550115,1593085893386918067
1593085894330508947,1593085894329828023
1593085895405755043,1593085895405096054
1593085896376041889,1593085896375267982
1593085897448931932,1593085897448304891
1593085898432423114,1593085898431555032
1593085899414940118,1593085899414398908
1593085900513547897,1593085900513075113
1593085901423890113,1593085901423170089
1593085902507874011,1593085902507386922
1593085903481846094,1593085903481093883
1593085904463059902,1593085904462441921
1593085905515995979,1593085905515353918
1593085906477169036,1593085906476659059
1593085907559688091,1593085907559079885
1593085908499073982,1593085908498291969
1593085909590845108,1593085909590329885
1593085910538387060,1593085910537504911
1593085911529232025,1593085911528408050
1593085912577430009,1593085912576903104
1593085913530833959,1593085913529675960
1593085914626029014,1593085914625473022
1593085915589477062,1593085915588885068
1593085916573251962,1593085916572491884
1593085917642487049,1593085917641812086
1593085918581948041,1593085918581334114
1593085919659329891,1593085919658807039
1593085920630002021,1593085920628807067
1593085921633591890,1593085921632735967
1593085922686708927,1593085922685847997
1593085923646136045,1593085923645579099
1593085924704524040,1593085924704016923
1593085925674628973,1593085925673954963
1593085926727905035,1593085926727375030
1593085927699347972,1593085927698314905
1593085928878010034,1593085928877234935
1593085930037377119,1593085930036818027
1593085930867291927,1593085930866744995
1593085931859354019,1593085931858822107
1593085932825162887,1593085932824510097
1593085933896156072,1593085933895371913
1593085934836488962,1593085934835969924
1593085935939007043,1593085935938235044
1593085936865669012,1593085936864690065
1593085937815434932,1593085937814862966
1593085938906877040,1593085938905900955
1593085939839749097,1593085939839214086
1593085940903570890,1593085940902765989
1593085941879777908,1593085941878993988
1593085942936013936,1593085942935313940
1593085943910254955,1593085943908720016
1593085944883778095,1593085944883230924
1593085945947160005,1593085945946615934
1593085946973028898,1593085946972455024
1593085948000456094,1593085947999825000
1593085948952399969,1593085948951771974
1593085950013479948,1593085950012928009
1593085950979953050,1593085950979434967
1593085952059470891,1593085952058856964
1593085953030189037,1593085953029628992
1593085953995244979,1593085953994724988
1593085955074961900,1593085955074419021
1593085956028306007,1593085956027621030
1593085957089318037,1593085957088680982
1593085958065675973,1593085958065005064
1593085959051712036,1593085959050775051
1593085960121917963,1593085960121402978
1593085961067634105,1593085961067107915
1593085962151496887,1593085962150983095
1593085963102750062,1593085963101994991
1593085964443028926,1593085964442265033
1593085965158200025,1593085965157386064
1593085966126003980,1593085966125179052
1593085967430188894,1593085967429436922
1593085968622433900,1593085968621699094
1593085969505433082,1593085969504609107
1593085970199132919,1593085970198371887
1593085971262337923,1593085971261439085
1593085972240880966,1593085972240134954
1593085973225295066,1593085973224739074
1593085974247203111,1593085974246423006
1593085975232785940,1593085975232070922
1593085976299520969,1593085976298990011
1593085977272936105,1593085977272185087
1593085978471518993,1593085978470839977
1593085979275024890,1593085979274369001
1593085980267071962,1593085980266200065
1593085981331489086,1593085981330919981
1593085982314846038,1593085982314222097
1593085983368136882,1593085983367559909
1593085984328512907,1593085984327964067
1593085985400584936,1593085985399998903
1593085986360641956,1593085986359973907
1593085987354501008,1593085987353465080
1593085988422548055,1593085988421848058
1593085989382917881,1593085989382328033
1593085990454334974,1593085990453733921
1593085991409749984,1593085991409070014
1593085992479733943,1593085992479065895
1593085993434636116,1593085993433585882
1593085994524815082,1593085994524178028
1593085995476803064,1593085995476177930
1593085996511887073,1593085996511176109
1593085997542926073,1593085997542325019
1593085998484527111,1593085998483835935
1593085999576240062,1593085999575627088
1593086000533421993,1593086000532752037
1593086001524378061,1593086001523776054
1593086002562329053,1593086002561630964
1593086003526618957,1593086003525866031
1593086004608475923,1593086004607832908
1593086005595829010,1593086005595174074
1593086006649338006,1593086006648560047
1593086007598766088,1593086007598169088
1593086008596272945,1593086008595474004
1593086009686321020,1593086009685576915
1593086010652189016,1593086010651321887
1593086011744903087,1593086011744373083
1593086012768435001,1593086012767771005
1593086013730974912,1593086013730319976
1593086014679236888,1593086014678458929
