%time,field.data
1593085848002993106,1593085847409340087
1593085848655193090,1593085848553864013
1593085849746722936,1593085849570192138
1593085850755245923,1593085850588774169
1593085851807555913,1593085851611881103
1593085852968610048,1593085852631562011
1593085853830522060,1593085853643925048
1593085854780792951,1593085854651603027
1593085855908807992,1593085855671143066
1593085857253565073,1593085856699391113
1593085857910716056,1593085857714780029
1593085858892205953,1593085858733644042
1593085859867398023,1593085859749958007
1593085860927625894,1593085860776364990
1593085861940634012,1593085861779381103
1593085862959563016,1593085862786333984
1593085863918531894,1593085863802863037
1593085865006350994,1593085864821360107
1593085865982546091,1593085865824466064
1593085866999435901,1593085866828728027
1593085868025003910,1593085867831341064
1593085870751071929,1593085868845490966
1593085870751322984,1593085869862806152
1593085871017004013,1593085870870716064
1593085872089725017,1593085871883109130
1593085873042042970,1593085872904311035
1593085874052970886,1593085873907071044
1593085875250662088,1593085874925851074
1593085876089323043,1593085875942648193
1593085877144126892,1593085876952917968
1593085878113085985,1593085877967009033
1593085879176038980,1593085878968010009
1593085880136707067,1593085879987600097
1593085881269469976,1593085881001712158
1593085882184568881,1593085882003534179
1593085883168364048,1593085883019962158
1593085884236891031,1593085884038300048
1593085885304326057,1593085885047135009
1593085886260503053,1593085886062224121
1593085887255423069,1593085887069082031
1593085888339956998,1593085888092425048
1593085889370204925,1593085889094230957
1593085890353826999,1593085890097524169
1593085891301917076,1593085891110229003
1593085892292788982,1593085892123641113
1593085893338912010,1593085893148594970
1593085894282113075,1593085894152038085
1593085895356626987,1593085895169924072
1593085896323182106,1593085896185469970
1593085897402729034,1593085897197711181
1593085898371057987,1593085898202476074
1593085899369100093,1593085899206826171
1593085900472644090,1593085900221572021
1593085901364768981,1593085901229697998
1593085902457427024,1593085902247384033
1593085903435803890,1593085903257510986
1593085904414040088,1593085904270513183
1593085905470323085,1593085905275416992
1593085906426647901,1593085906283995117
1593085907509309053,1593085907297583007
1593085908445600986,1593085908308122070
1593085909543489933,1593085909311353027
1593085910489792108,1593085910336469970
1593085911478852987,1593085911335597167
1593085912529361009,1593085912341771972
1593085913486599922,1593085913351156005
1593085914578481912,1593085914354509033
1593085915544187068,1593085915368989990
1593085916525130033,1593085916368998046
1593085917594932079,1593085917385381103
1593085918535439014,1593085918399245117
1593085919607296943,1593085919399422119
1593085920579787015,1593085920418842041
1593085921587599992,1593085921432274169
1593085922637692928,1593085922443694091
1593085923599350929,1593085923460389160
1593085924662951946,1593085924469115966
1593085925629250049,1593085925473664062
1593085926680910110,1593085926480198974
1593085927648037910,1593085927496371093
1593085928826833009,1593085928511355957
1593085929983983039,1593085929527778076
1593085930823021888,1593085930536820068
1593085931814559936,1593085931560838134
1593085932779551029,1593085932572433105
1593085933845993995,1593085933583027099
1593085934791002988,1593085934589492187
1593085935893034934,1593085935602900146
1593085936820902109,1593085936617453125
1593085937766335964,1593085937626621093
1593085938859098911,1593085938653385986
1593085939789165019,1593085939649771972
1593085940856266021,1593085940666059082
1593085941834114074,1593085941678594970
1593085942884965896,1593085942683224121
1593085943856837034,1593085943690242187
1593085944840660095,1593085944705527099
1593085945900198936,1593085945719302001
1593085946928620100,1593085946734252197
1593085947957751035,1593085947750486083
1593085948896511077,1593085948755393066
1593085949970756053,1593085949766946044
1593085950932116031,1593085950772178955
1593085952009337902,1593085951797489013
1593085952977412939,1593085952803878173
1593085953951410055,1593085953813373046
1593085955022787094,1593085954818302001
1593085955978844881,1593085955834286132
1593085957034770965,1593085956838254150
1593085958020262002,1593085957852922119
1593085959005486965,1593085958861162109
1593085960075692892,1593085959865715087
1593085961023262977,1593085960876925048
1593085962110965013,1593085961891109130
1593085963047245979,1593085962907166992
1593085964396325111,1593085963923257080
1593085965114625930,1593085964933343017
1593085966073597908,1593085965937568115
1593085967382921934,1593085966951749023
1593085968576102972,1593085967956269042
1593085969459002017,1593085968965045166
1593085970142534971,1593085969976670166
1593085971198479890,1593085970993489990
1593085972191106081,1593085972008255126
1593085973178431034,1593085973010500976
1593085974196378946,1593085974022594970
1593085975187424898,1593085975044807128
1593085976251754999,1593085976057232177
1593085977223603010,1593085977074599121
1593085978422103881,1593085978083719970
1593085979234312057,1593085979088463134
1593085980221915960,1593085980094145019
1593085981283830881,1593085981100516113
1593085982272159099,1593085982101633056
1593085983318048000,1593085983128582031
1593085984279443979,1593085984145584960
1593085985356304883,1593085985161010986
1593085986314939022,1593085986170777099
1593085987307251930,1593085987185575195
1593085988371390104,1593085988196103027
1593085989332139015,1593085989203245117
1593085990402007102,1593085990205822998
1593085991363701105,1593085991218410156
1593085992431813001,1593085992239504150
1593085993391218900,1593085993235909179
1593085994469361066,1593085994251079101
1593085995429146051,1593085995262165039
1593085996464495897,1593085996274941162
1593085997495973110,1593085997280518066
1593085998437199115,1593085998304312988
1593085999526664018,1593085999315467041
1593086000488585948,1593086000325656982
1593086001474416017,1593086001336832031
1593086002517903089,1593086002357802001
1593086003481293916,1593086003364010986
1593086004563241004,1593086004383281982
1593086005545479059,1593086005400360107
1593086006600460052,1593086006418655029
1593086007555191993,1593086007423690185
1593086008547877073,1593086008426019042
1593086009641879081,1593086009433359130
1593086010602972030,1593086010455053955
1593086011698400020,1593086011466202148
1593086012723166942,1593086012492056152
1593086013683240890,1593086013495848144
1593086014629678010,1593086014501355957
