%time,field
1593085847995690236,1593085847409340087
1593085848651118298,1593085848553864013
1593085849739868045,1593085849570192138
1593085850747941470,1593085850588774169
1593085851807009783,1593085851611881103
1593085852946771949,1593085852631562011
1593085853803419322,1593085853643925048
1593085854761432919,1593085854651603027
1593085855900810412,1593085855671143066
1593085857232249440,1593085856699391113
1593085857907718432,1593085857714780029
1593085858885854452,1593085858733644042
1593085859863868040,1593085859749958007
1593085860922654961,1593085860776364990
1593085861920836372,1593085861779381103
1593085862938637250,1593085862786333984
1593085863896576987,1593085863802863037
1593085864996736232,1593085864821360107
1593085865974803851,1593085865824466064
1593085866993328678,1593085866828728027
1593085868021342325,1593085867831341064
1593085868969007480,1593085868845490966
1593085870048019732,1593085869862806152
1593085870996152903,1593085870870716064
1593085872064821362,1593085871883109130
1593085873042171087,1593085872904311035
1593085874040518556,1593085873907071044
1593085875240438284,1593085874925851074
1593085876066933343,1593085875942648193
1593085877115215392,1593085876952917968
1593085878083312333,1593085877967009033
1593085879152345866,1593085878968010009
1593085880130420389,1593085879987600097
1593085881259649398,1593085881001712158
1593085882156929987,1593085882003534179
1593085883165519526,1593085883019962158
1593085884214328354,1593085884038300048
1593085885303623790,1593085885047135009
1593085886251253776,1593085886062224121
1593085887229339494,1593085887069082031
1593085888307501957,1593085888092425048
1593085889365882586,1593085889094230957
1593085890353764153,1593085890097524169
1593085891301909436,1593085891110229003
1593085892269849597,1593085892123641113
1593085893338546611,1593085893148594970
1593085894276019221,1593085894152038085
1593085895354268017,1593085895169924072
1593085896301921654,1593085896185469970
1593085897370590966,1593085897197711181
1593085898338039910,1593085898202476074
1593085899365968922,1593085899206826171
1593085900444810768,1593085900221572021
1593085901362774564,1593085901229697998
1593085902431656593,1593085902247384033
1593085903429156087,1593085903257510986
1593085904407806094,1593085904270513183
1593085905436716475,1593085905275416992
1593085906404561335,1593085906283995117
1593085907504079986,1593085907297583007
1593085908421524694,1593085908308122070
1593085909540138480,1593085909311353027
1593085910457346704,1593085910336469970
1593085911455226775,1593085911335597167
1593085912524226656,1593085912341771972
1593085913481532541,1593085913351156005
1593085914579992079,1593085914354509033
1593085915517074018,1593085915368989990
1593085916504541947,1593085916368998046
1593085917593621380,1593085917385381103
1593085918511421692,1593085918399245117
1593085919580516333,1593085919399422119
1593085920578874571,1593085920418842041
1593085921556467351,1593085921432274169
1593085922635058310,1593085922443694091
1593085923572694994,1593085923460389160
1593085924651381336,1593085924469115966
1593085925608781024,1593085925473664062
1593085926677159266,1593085926480198974
1593085927645574424,1593085927496371093
1593085928805181627,1593085928511355957
1593085929985098503,1593085929527778076
1593085930791904883,1593085930536820068
1593085931810129826,1593085931560838134
1593085932778050354,1593085932572433105
1593085933836382487,1593085933583027099
1593085934783615862,1593085934589492187
1593085935872478416,1593085935602900146
1593085936800126626,1593085936617453125
1593085937758082228,1593085937626621093
1593085938856679117,1593085938653385986
1593085939784040473,1593085939649771972
1593085940843037211,1593085940666059082
1593085941831413744,1593085941678594970
1593085942880346495,1593085942683224121
1593085943848852732,1593085943690242187
1593085944836797403,1593085944705527099
1593085945896406945,1593085945719302001
1593085946905544685,1593085946734252197
1593085947954840773,1593085947750486083
1593085948872561297,1593085948755393066
1593085949951629726,1593085949766946044
1593085950930273958,1593085950772178955
1593085952009055568,1593085951797489013
1593085952976814347,1593085952803878173
1593085953944911662,1593085953813373046
1593085955003766576,1593085954818302001
1593085955961919342,1593085955834286132
1593085957010599366,1593085956838254150
1593085957999075034,1593085957852922119
1593085958977362783,1593085958861162109
1593085960056463885,1593085959865715087
1593085961004496118,1593085960876925048
1593085962083892897,1593085961891109130
1593085963022005046,1593085962907166992
1593085964393114661,1593085963923257080
1593085965088908706,1593085964933343017
1593085966057307259,1593085965937568115
1593085967357968880,1593085966951749023
1593085968558150192,1593085967956269042
1593085969455168016,1593085968965045166
1593085970141034245,1593085969976670166
1593085971189891681,1593085970993489990
1593085972188054327,1593085972008255126
1593085973175750160,1593085973010500976
1593085974174094763,1593085974022594970
1593085975181757212,1593085975044807128
1593085976250152049,1593085976057232177
1593085977218272098,1593085977074599121
1593085978418054590,1593085978083719970
1593085979224447084,1593085979088463134
1593085980212522289,1593085980094145019
1593085981281094538,1593085981100516113
1593085982268821523,1593085982101633056
1593085983297264803,1593085983128582031
1593085984274592419,1593085984145584960
1593085985353350019,1593085985161010986
1593085986311161090,1593085986170777099
1593085987299757561,1593085987185575195
1593085988349112742,1593085988196103027
1593085989327316188,1593085989203245117
1593085990395946779,1593085990205822998
1593085991353016573,1593085991218410156
1593085992411668841,1593085992239504150
1593085993389325453,1593085993235909179
1593085994457657083,1593085994251079101
1593085995405360961,1593085995262165039
1593085996444464878,1593085996274941162
1593085997493358877,1593085997280518066
1593085998411536420,1593085998304312988
1593085999500929523,1593085999315467041
1593086000478985759,1593086000325656982
1593086001466977074,1593086001336832031
1593086002515759963,1593086002357802001
1593086003474153863,1593086003364010986
1593086004553507152,1593086004383281982
1593086005541766897,1593086005400360107
1593086006590421287,1593086006418655029
1593086007538355707,1593086007423690185
1593086008526298610,1593086008426019042
1593086009615437145,1593086009433359130
1593086010573374799,1593086010455053955
1593086011671809072,1593086011466202148
1593086012700133407,1593086012492056152
1593086013677544163,1593086013495848144
1593086014624803106,1593086014501355957
